K,D,maskSeed,chainSeed,inforate
1.0,5.0,102.0,104.0,-3.876918585929162
1.0,5.0,103.0,101.0,-3.834825771411051
1.0,5.0,103.0,102.0,-3.834950989833506
1.0,5.0,103.0,103.0,-3.834558472309756
1.0,5.0,103.0,104.0,-3.8348859454537876
1.0,5.0,104.0,101.0,-3.834560472724022
1.0,5.0,104.0,102.0,-3.8346133778343523
1.0,5.0,104.0,103.0,-3.8347391391113548
1.0,5.0,104.0,104.0,-3.83470181450361
1.0,5.0,105.0,101.0,-3.8009853332181605
1.0,5.0,105.0,102.0,-3.800900615536887
1.0,5.0,105.0,103.0,-3.8007952473900546
1.0,5.0,105.0,104.0,-3.8010193559353636
20.0,1.0,101.0,101.0,-3.6533716878558393
20.0,1.0,101.0,102.0,-3.653194234748527
20.0,1.0,101.0,103.0,-3.653426950955856
20.0,1.0,101.0,104.0,-3.653238748359529
20.0,1.0,102.0,101.0,-3.67771929253781
20.0,1.0,102.0,102.0,-3.6777888493526922
20.0,1.0,102.0,103.0,-3.6776041348550375
20.0,1.0,102.0,104.0,-3.6778750970655585
20.0,1.0,103.0,101.0,-3.6589434856245213
20.0,1.0,103.0,102.0,-3.6589739619125914
20.0,1.0,103.0,103.0,-3.6587114155833773
20.0,1.0,103.0,104.0,-3.659233988142586
20.0,1.0,104.0,101.0,-3.6590433794159414
20.0,1.0,104.0,102.0,-3.659082506040922
20.0,1.0,104.0,103.0,-3.65906884042132
20.0,1.0,104.0,104.0,-3.658922337136051
20.0,1.0,105.0,101.0,-3.6390669801007984
20.0,1.0,105.0,102.0,-3.639024563099216
20.0,1.0,105.0,103.0,-3.6391701840370305
20.0,1.0,105.0,104.0,-3.639004644653819
20.0,2.0,101.0,101.0,-3.5853017705943677
20.0,2.0,101.0,102.0,-3.5849174016923304
20.0,2.0,101.0,103.0,-3.585361027650854
20.0,2.0,101.0,104.0,-3.5851132995697306
20.0,2.0,102.0,101.0,-3.6157753592786173
20.0,2.0,102.0,102.0,-3.6160892464222165
20.0,2.0,102.0,103.0,-3.6163713970186673
20.0,2.0,102.0,104.0,-3.615769256171984
20.0,2.0,103.0,101.0,-3.59337574087741
20.0,2.0,103.0,102.0,-3.597000954552527
20.0,2.0,103.0,103.0,-3.598186666100912
20.0,2.0,103.0,104.0,-3.593167588816834
20.0,2.0,104.0,101.0,-3.5936717487362544
20.0,2.0,104.0,102.0,-3.5941030835017336
20.0,2.0,104.0,103.0,-3.5939934928559225
