originnum,destnum,origin,destination,cluster,logprob,originlon,originlat,destlon,destlat
45,61,ISP,MYR,4,0.6873917202918909,-73.10019684,40.79520035,-78.928299,33.679699
45,67,ISP,PBI,5,0.9999999977400091,-73.10019684,40.79520035,-80.095596,26.683201
45,78,ISP,RSW,3,1.0,-73.10019684,40.79520035,-81.75520324707031,26.53619956970215
45,93,ISP,TPA,5,0.9999999999999915,-73.10019684,40.79520035,-82.533203,27.9755
46,69,JAX,PHL,4,1.0,-81.687813,30.492469,-75.241096,39.871899
47,3,LAS,ATL,4,1.0,-115.151817,36.083361,-84.428101,33.6367
47,4,LAS,AUS,4,1.0,-115.151817,36.083361,-97.662015,30.197535
47,11,LAS,BNA,4,1.0,-115.151817,36.083361,-86.6782,36.1245
47,19,LAS,CLE,4,1.0,-115.151817,36.083361,-81.8498,41.411701
47,20,LAS,CLT,4,1.0,-115.151817,36.083361,-80.94309997558594,35.2140007019043
47,22,LAS,COS,4,1.0,-115.151817,36.083361,-104.700996,38.805801
47,23,LAS,CVG,4,1.0,-115.151817,36.083361,-84.667801,39.048801
47,25,LAS,DEN,4,1.0,-115.151817,36.083361,-104.672996521,39.861698150635
47,26,LAS,DFW,4,1.0,-115.151817,36.083361,-97.038002,32.896801
47,28,LAS,DTW,4,1.0,-115.151817,36.083361,-83.353786,42.21377
47,30,LAS,EWR,4,1.0,-115.151817,36.083361,-74.168701,40.692501
47,35,LAS,GEG,3,0.9999999992847023,-115.151817,36.083361,-117.533997,47.6199
47,42,LAS,IAH,4,1.0,-115.151817,36.083361,-95.34140014648438,29.984399795532227
47,44,LAS,IND,4,1.0,-115.151817,36.083361,-86.294403,39.7173
47,48,LAS,LAX,4,0.9999999999980738,-115.151817,36.083361,-118.407997,33.942501
47,52,LAS,MCO,4,1.0,-115.151817,36.083361,-81.30899810791016,28.429399490356445
47,55,LAS,MIA,4,1.0,-115.151817,36.083361,-80.29060363769531,25.79319953918457
47,56,LAS,MKE,4,1.0,-115.151817,36.083361,-87.896599,42.947201
47,57,LAS,MSN,4,1.0,-115.151817,36.083361,-89.337502,43.1399
47,63,LAS,OMA,4,1.0,-115.151817,36.083361,-95.894096,41.3032
47,65,LAS,ORD,4,1.0,-115.151817,36.083361,-87.9048,41.9786
47,66,LAS,ORF,4,1.0,-115.151817,36.083361,-76.201,36.895341
47,68,LAS,PDX,3,0.9999999909610291,-115.151817,36.083361,-122.598,45.588699
47,69,LAS,PHL,4,1.0,-115.151817,36.083361,-75.241096,39.871899
47,70,LAS,PHX,1,0.9999999999998938,-115.151817,36.083361,-112.005905,33.435302
47,76,LAS,RDU,4,1.0,-115.151817,36.083361,-78.787498,35.877602
47,77,LAS,RNO,5,0.9996830637985878,-115.151817,36.083361,-119.767998,39.4991
47,79,LAS,SAN,1,0.9974050344341758,-115.151817,36.083361,-117.190002441,32.7336006165
47,80,LAS,SAT,4,1.0,-115.151817,36.083361,-98.469803,29.533701
47,83,LAS,SEA,3,0.9999999999613156,-115.151817,36.083361,-122.310276,47.447943
47,84,LAS,SFO,1,0.9999999174106717,-115.151817,36.083361,-122.374821,37.619806
47,85,LAS,SJC,4,0.9999999999999994,-115.151817,36.083361,-121.929188,37.362452
47,87,LAS,SLC,1,0.9999999951730347,-115.151817,36.083361,-111.979866,40.78886
47,88,LAS,SMF,5,0.9999999884319712,-115.151817,36.083361,-121.591003,38.6954
47,89,LAS,SNA,4,0.9999999999927233,-115.151817,36.083361,-117.867996,33.675701
47,91,LAS,STL,4,1.0,-115.151817,36.083361,-90.370003,38.748697
47,93,LAS,TPA,4,1.0,-115.151817,36.083361,-82.533203,27.9755
48,3,LAX,ATL,4,1.0,-118.407997,33.942501,-84.428101,33.6367
48,25,LAX,DEN,4,1.0,-118.407997,33.942501,-104.672996521,39.861698150635
48,47,LAX,LAS,4,0.9999999999999998,-118.407997,33.942501,-115.151817,36.083361
48,70,LAX,PHX,3,0.26735852845415686,-118.407997,33.942501,-112.005905,33.435302
49,3,LGA,ATL,1,1.0,-73.872597,40.777199,-84.428101,33.6367
49,52,LGA,MCO,1,1.0,-73.872597,40.777199,-81.30899810791016,28.429399490356445
49,55,LGA,MIA,4,1.0,-73.872597,40.777199,-80.29060363769531,25.79319953918457
50,25,LIT,DEN,5,0.9999999292534971,-92.223728,34.729582,-104.672996521,39.861698150635
51,25,MCI,DEN,1,0.9999999999999757,-94.713898,39.2976,-104.672996521,39.861698150635
