,home,away,hometeam,awayteam
743,31,32,22,5
744,38,23,1,13
745,25,28,18,26
746,31,29,19,30
747,38,42,27,24
748,26,35,3,14
749,26,17,29,7
750,33,38,25,28
751,30,35,4,16
752,34,27,15,12
753,24,35,6,13
754,36,28,17,19
755,29,31,23,22
756,29,24,2,14
757,31,38,18,26
758,35,26,21,10
759,35,32,27,30
760,29,22,7,9
761,32,31,24,28
762,24,31,25,1
763,29,20,6,16
764,37,37,20,14
765,26,25,5,13
766,28,31,17,4
767,27,34,8,19
768,30,35,9,30
769,20,27,23,22
770,32,27,15,25
771,27,27,3,2
772,34,26,11,21
773,32,27,18,10
774,40,40,27,26
775,27,40,29,28
776,31,33,24,1
777,29,36,12,14
778,35,31,6,15
779,28,26,20,16
780,30,32,5,4
781,23,37,7,19
782,35,24,8,10
783,30,26,17,13
784,30,31,9,4
785,23,24,12,26
786,30,26,30,25
787,19,29,3,24
788,33,26,11,28
789,24,33,18,22
790,45,33,27,23
791,28,34,29,1
792,29,26,2,30
793,19,31,9,24
794,27,28,20,13
795,36,30,5,25
796,32,37,17,16
797,43,34,19,14
798,35,35,21,11
799,31,25,10,7
800,33,38,8,1
801,33,34,4,22
802,32,31,12,6
803,22,23,20,23
804,28,33,15,28
805,38,28,18,8
806,34,24,19,26
807,28,23,9,3
808,29,32,30,6
809,25,32,2,13
810,44,32,5,27
811,31,31,11,26
812,35,26,29,7
813,30,33,10,21
814,28,31,25,17
815,31,22,22,20
816,29,34,2,24
817,33,26,19,1
818,28,25,15,5
819,45,30,8,18
820,35,32,14,21
821,37,22,6,9
822,29,30,30,4
823,21,27,3,23
824,31,23,16,12
825,33,26,28,27
826,37,36,11,26
827,32,33,29,18
828,26,24,13,7
829,35,25,25,10
830,38,29,22,8
831,33,32,1,24
832,22,37,2,5
833,35,33,14,17
834,39,31,9,27
835,25,33,12,24
836,30,32,23,20
837,19,37,3,4
838,29,41,28,29
839,20,28,16,11
840,39,26,15,18
841,30,38,19,6
842,26,35,25,21
843,30,25,26,7
844,31,28,13,17
845,24,27,2,23
846,32,45,4,8
847,26,25,22,16
848,36,29,30,12
849,40,29,1,27
850,31,36,20,29
851,27,31,6,5
852,28,32,10,14
853,43,27,26,7
854,18,30,3,15
855,31,27,28,9
856,33,42,4,1
857,35,35,6,27
858,35,28,12,29
859,31,29,23,11
860,27,33,16,8
861,30,23,20,2
862,32,30,5,22
863,29,30,21,19
864,30,39,7,18
865,32,36,10,30
866,23,30,25,14
867,42,30,28,22
868,25,29,17,3
869,43,23,24,26
870,32,30,13,10
871,24,28,25,30
872,29,28,4,27
873,21,26,12,5
874,26,31,23,6
875,35,31,1,20
876,28,32,3,9
877,24,30,2,16
878,29,30,15,29
879,33,20,21,11
880,37,25,8,7
881,34,32,14,19
882,27,22,5,17
883,31,29,18,30
884,31,29,24,13
885,37,22,6,8
886,27,33,12,3
887,27,20,22,9
888,21,27,23,15
889,34,26,28,19
890,24,35,7,27
891,29,37,29,21
892,26,26,14,10
893,33,27,26,25
894,20,33,30,20
895,35,27,1,6
896,28,27,17,16
897,35,33,18,4
898,28,26,24,21
899,38,18,5,2
900,11,25,10,11
901,33,47,13,26
902,32,26,9,28
903,28,21,4,16
904,29,33,22,12
905,26,32,20,19
906,30,25,15,8
907,26,27,23,3
908,33,29,29,27
909,25,32,17,24
910,29,29,1,2
911,32,26,5,30
912,19,36,7,14
913,26,27,6,28
914,25,27,21,26
915,24,21,10,18
916,22,38,25,11
917,36,33,8,13
918,30,39,4,9
919,22,20,23,16
920,25,28,20,3
921,28,27,19,22
922,30,42,1,30
923,24,36,2,17
924,23,27,28,5
