,AIR_TIME,DISTANCE,origin,dest
7519,69.0,455,25,7
7520,77.0,455,7,25
7529,166.0,1476,25,24
7530,213.0,1476,24,25
7566,98.0,746,3,30
7576,88.0,641,25,26
7599,115.0,1014,25,11
7600,168.0,1014,11,25
7603,127.0,1199,25,3
7616,212.0,1476,24,25
7617,170.0,1491,25,15
7618,219.0,1491,15,25
7633,167.0,1476,25,24
7634,215.0,1476,24,25
7637,192.0,1199,3,25
7653,96.0,641,26,25
7690,105.0,775,25,4
7691,112.0,775,4,25
7752,86.0,692,25,18
7753,104.0,692,18,25
7779,69.0,589,25,27
7838,226.0,1476,24,25
7841,156.0,1476,25,24
7842,191.0,1201,19,25
7846,80.0,563,25,29
7847,94.0,563,29,25
7849,93.0,746,3,30
7944,87.0,641,25,26
7945,153.0,1476,25,24
7946,232.0,1476,24,25
7971,135.0,1154,25,21
7972,183.0,1154,21,25
8006,130.0,1201,25,19
8015,94.0,641,26,25
8047,85.0,524,25,16
8048,65.0,524,16,25
8052,88.0,641,25,26
8053,92.0,641,26,25
8069,127.0,746,30,3
8073,137.0,1199,25,3
8092,177.0,1199,3,25
8093,147.0,1476,25,24
8094,232.0,1476,24,25
8105,87.0,589,27,25
8132,106.0,775,25,4
8133,103.0,775,4,25
8197,145.0,1359,25,14
8198,208.0,1359,14,25
8224,51.0,349,25,1
8241,156.0,1476,25,24
8242,217.0,1476,24,25
8258,180.0,1199,3,25
8280,220.0,1476,24,25
8281,167.0,1491,25,15
8282,214.0,1491,15,25
8286,82.0,641,25,26
8316,130.0,746,30,3
8338,130.0,1014,25,11
8339,152.0,1014,11,25
8342,96.0,746,3,30
8375,160.0,1476,25,24
8376,206.0,1476,24,25
8382,98.0,641,26,25
8383,130.0,1069,25,23
8384,165.0,1069,23,25
8389,74.0,455,25,7
8390,58.0,455,7,25
8424,137.0,1199,25,3
8466,161.0,1476,25,24
8551,103.0,775,25,4
8552,108.0,775,4,25
8642,153.0,1337,25,20
8643,202.0,1337,20,25
8644,94.0,692,25,18
8645,97.0,692,18,25
8648,146.0,1132,25,6
8649,157.0,1132,6,25
8683,170.0,1476,25,24
8684,215.0,1476,24,25
8691,175.0,1199,3,25
