,home,away,hometeam,awayteam
1161,31,19,19,13
1162,9,8,4,28
1163,26,22,2,29
1164,19,10,5,15
1165,18,12,18,25
1166,18,22,1,7
1167,13,15,20,30
1168,25,29,22,9
1169,25,25,26,27
1170,8,21,11,14
1171,35,23,21,24
1172,18,24,6,12
1173,15,12,17,23
1174,15,17,8,10
1175,16,21,4,28
1176,22,23,9,16
1177,13,18,22,6
1178,15,17,30,17
1179,11,17,2,18
1180,14,10,23,3
1181,16,17,5,1
1182,18,10,11,8
1183,17,11,15,25
1184,22,12,19,26
1185,24,27,29,14
1186,22,26,10,21
1187,19,11,24,27
1188,13,16,9,2
1189,24,16,12,20
1190,35,20,1,30
1191,10,13,3,28
1192,9,9,17,5
1193,29,19,19,15
1194,15,15,7,26
1195,23,16,13,14
1196,15,8,22,6
1197,13,13,23,16
1198,25,15,27,25
1199,11,21,29,21
1200,20,19,24,8
1201,20,21,4,11
1202,22,21,12,9
1203,29,7,30,16
1204,19,23,1,23
1205,16,13,3,28
1206,22,15,2,22
1207,9,11,17,15
1208,19,15,19,20
1209,10,12,7,5
1210,10,21,26,10
1211,13,12,14,24
1212,19,17,29,8
1213,18,15,27,18
1214,26,17,13,25
1215,11,15,3,1
1216,23,14,2,23
1217,15,26,6,4
1218,15,17,16,22
1219,17,30,20,12
1220,14,17,28,17
1221,13,20,30,11
1222,17,10,5,9
1223,8,21,7,27
1224,22,25,18,19
1225,13,13,21,15
1226,18,10,8,26
1227,16,5,14,29
1228,16,16,24,13
1229,16,14,25,10
